# ========================================================================
# Cluster-level metadata catalogue (SoFiA-2 style)
# Columns:
# ID              : Cluster/field identifier (MGCLS / RXC / MACS / Abell name)
# SEL             : Target selection type (radio / X-ray / optical)
# M_Z             : MeerKAT target redshift (dimensionless)
# Anc_Z           : Ancillary data redshift (dimensionless)
# RA              : Right Ascension J2000 (hh:mm:ss.s)
# DEC             : Declination J2000 (dd:mm:ss.s)
# DATE            : UTC start date/time of observation
# SBID            : Schedule Block identifier
# CAPTURE_ID      : Capture ID (unique observation identifier)
# AWS             : Archive storage flag ("staged" / "no")
# R200            : Radius within which the average cluster density is 
#                   200 × the critical density of the Universe [Mpc]
# SIGMA_V         : Cluster velocity dispersion [km/s]
# SOFIA_DETS      : Number of detections by SoFiA-2 in the field
# RMS             : Image root mean square noise [𝜇Jy/beam]
# NHI_min         : Minimum HI column density sensitivity [cm^-2] at 3 sigma
# NHI_max         : Maximum HI column density reached [cm^-2]
# V_min           : Minimum velocity covered [km/s]
# V_max           : Maximum velocity covered [km/s]
# NCHAN           : Number of spectral channels
# FREQ_min        : Minimum frequency covered [MHz]
# FREQ_max        : Maximum frequency covered [MHz]
# BMIN            : Synthesised beam minor axis [arcsec]
# BMAJ            : Synthesised beam major axis [arcsec]
# BPA             : Beam position angle [deg]
# MGCLS_Name      : MGCLS target short name    
# COUNTERPART     : Optical/IR/radio counterpart identifier
# Mass            : Estimated total mass of the cluster [M_sun]
# ======================================================================================================================================================================================================================================================================================================================================================================
ID	SEL	M_Z	Anc_Z	RA	DEC	DATE	SBID	CAPTURE_ID	AWS	R200	SIGMA_V	SOFIA_DETS	RMS	NHI_min	NHI_max	V_min	V_max	NCHAN	FREQ_min	FREQ_max	BMIN	BMAJ	BPA	MGCLS_Name	Alternate_Name	Mass
Abell-194	radio	0.0180	0.0180	01:25:47.00	-01:22:23.00	2018-11-08T16:36:26Z	20181108-0033	1541694981	Staged	1.03	421.00	19	0.2299	5.433e+19	7.715e+20	2443.649261	8089.791907	129	1382.0766	1408.8278	31.609172	38.757421	149.57	j012547-012223	-	1.27e+14
Abell-4038	radio	0.0282	0.0270	23:47:31.10	-28:12:10.00	2018-11-17T13:16:14Z	20181117-0007	1542460565	Staged	2.28	933.00	97	0.3875	5.018e+19	2.688e+20       -2332.80917	18664.65433	477	1331.9733	1431.4585	32.231407	35.002866	118.53	j234731-281210	-	1.37e+15
Abell-548	radio	0.0416	0.0400	05:47:01.70	-25:36:59.00	2018-11-13T20:11:05Z	20181112-0033	1542139862	Staged	2.15	887.00	147	0.3765	5.255e+19	2.969e+20	1630.334499	22581.07546	476	1313.4174	1412.6813	31.104170	33.647648	125.17	j054701-253659	-	1.17e+15
Abell-168	radio	0.0450	0.0430	01:15:09.80	+00:14:51.00	2018-10-17T17:41:28Z	20181017-0015	1539798056	Staged	1.32	546.00	104	0.5202	4.553e+19	3.488e+20	2409.385375	23405.28312	477	1309.5124	1408.9902	34.337956	38.345114	141.43	j011509+001451	-	2.74e+14
Abell-3562	radio	0.0490	0.0470	13:31:08.00	-31:40:23.00	2018-07-06T12:00:58Z	20180706-0112	1530878456	Staged	2.53	1048.00	102	0.4905	6.662e+19	9.327e+20	3489.912055	24487.38288	477	1304.3854	1403.8707	30.959842	34.745334	126.52	j133108-314023	-	1.93e+15
Abell-3990	X-ray	0.0286	0.0280	23:19:12.00	-67:50:24.00	2019-02-03T13:03:06Z	20190202-0004	1549198976	Staged	2.59	1062.38	32	0.5202	6.916e+19	3.528e+20	-2041.23100	18954.35914	477	1330.6007	1430.0770	30.728425	35.755316	69.771	j231912-675024	-	2.03e+15
Abell-S560	X-ray	0.0369	0.0360	06:00:48.30	-58:35:14.00	2019-01-26T13:33:50Z	20190126-0003	1548509624	Staged	2.40	985.17	88	0.4355	6.324e+19	6.392e+20	249.2338970	21200.93930	476	1319.9565	1419.2249	30.112449	33.407928	108.04	j060048-583514	-	1.61e+15
Abell-S606	X-ray	0.0434	0.0420	07:57:46.50	-53:15:49.00	2019-02-06T16:01:06Z	20190206-0043	1549468865	Staged	1.33	548.25	96	0.5111	7.600e+19	4.531e+20	1886.318613	22881.77642	477	1311.9927	1411.4684	29.613079	33.174562	130.09	j075746-531549	-	2.77e+14
Abell-S405	X-ray	0.0613	0.0580	03:51:08.90	-82:13:00.00	2019-01-08T12:11:01Z	20190108-0008	1546949448	Staged	1.91	794.15	75	0.4129	5.339e+20	9.771e+21	6736.133331	27731.73993	477	1289.0138	1388.4902	31.686865	35.652429	123.69	j035108-821300	-	8.36e+14
Abell-3104	X-ray	0.0730	0.0680	03:14:19.80	-45:25:27.00	2018-12-23T14:01:03Z	20181221-0008	1545573661	Staged	4.14	1728.72	108	0.6037	4.386e+19	1.400e+21	9897.589076	30894.235087	477	1274.0300	1373.5113	30.702947	33.858344	104.50	j031419-452527	-	8.58e+15
Abell-3266	X-ray	0.0589	0.0560	04:31:24.10	-61:26:38.00	2019-03-03T13:53:00Z	20190303-0001	1551621148	Staged	2.49	1032.63	41	0.7506	8.836e+20	3.152e+22	6247.042158	27198.818645	476	1291.5387	1390.8075	32.454392	38.239333	71.785	j043124-612638	-	1.84e+15
Abell-3360	X-ray	0.0358	0.0350	05:40:06.30	-40:50:32.00	2019-03-17T10:31:14Z	20190316-0013	1552818670	Staged	2.71	1115.48	61	0.4834	7.059e+19	5.209e+20	-114.418566	20926.260927	478	1321.2579	1420.9479	30.423236	32.882280	116.55	j054006-405032	-	2.34e+15
Abell-3376	radio	0.0456	0.0456	06:01:42.20	-39:59:06.20	2018-11-09T19:34:31Z	20181109-0052	1541792068	Staged	2.00	849.00	110	0.3633	5.520e+19	2.898e+20	2025.448633	25225.781452	527	1300.8869	1410.8093	29.869738	32.189315	117.45	j060142-395906	-	1.013e+15
Abell-3376	radio	0.0456	0.0456	06:01:42.20	-39:59:06.20	2019-05-01T08:30:58Z	20190430-0024	1556699455	Staged	2.00	849.00	110	0.3633	5.5200e+19	2.898e+20	2025.448633	25225.781452	527	1300.8869	1410.8093	29.869738	32.189315	117.45	j060142-395906	-	1.013e+15
Abell-85        radio	0.0551	0.0551	00:41:48.70	-09:19:04.80	2018-09-25T19:03:06Z	20180925-0006	1537902177	Staged	2.40	982.00	115	0.4433	5.2526e+19	4.557e+20	2061.766772	25218.598278	526	1300.9210	1410.6372	31.629923	38.982982	145.50	j004150−091204	-	1.58e+15		
Abell-133       radio   0.0566  0.0559  01:02:45.10	-21:52:48.00    2018-10-01T17:33:59Z    20181001-0007   1538415237      Staged  1.77    735.00  78      0.5156	6.1975e+19	1.046e+21	-22161.5361	25388.320836	1079	1300.1168	1525.4063	33.431538	36.353236	148.89  j010245-215248  -       5.69e+14 
Abell-13	radio	0.0943	-	00:13:32.20	-19:30:03.60	2018-09-20T19:26:14Z	20180920-0011	1537471570	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j001332-193003	-	-
Abell-3558	radio	0.0480	-	13:27:54.80	-31:29:32.00	2018-07-03T14:33:25Z	20180703-0022	1530628393	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j132754-312932	-	-
Abell-3558	radio	0.0480	-	13:27:54.80	-31:29:32.00	2018-07-04T15:36:18Z	20180703-0003	1530718572	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j132754-312932	-	-
Abell-3667	radio	0.0556	-	20:12:33.70	-56:50:26.30	2018-10-27T13:08:19Z	20181027-0003	1540645694	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j201233-565026	-	-
Abell-2597	radio	0.0852	-	23:25:19.70	-12:07:27.70	2018-10-18T15:17:57Z	20181018-0021	1539875874	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j232519-120727	-	-
Abell-3365	radio	0.0926	-	05:48:12.00	-21:56:06.00	2018-11-14T20:15:38Z	20181114-0020	1542226528	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j054812-215606	-	-
Abell-3365	radio	0.0926	-	05:48:12.00	-21:56:06.00	2018-11-18T19:32:26Z	20181118-0008	1542569543	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j054812-215606	-	-
J1248.7-4118	X-ray	0.0114	-	12:48:47.90	-41:18:28.00	2019-01-29T22:32:53Z	20190129-0010	1548801171	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j124847-411828	-	-
J1840.6-7709	X-ray	0.0194	-	18:40:37.20	-77:09:20.00	2019-03-17T20:08:37Z	20190316-0014	1552853317	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j184037-770920	-	-
J1840.6-7709	X-ray	0.0194	-	18:40:37.20	-77:09:20.00	2019-03-19T04:51:25Z	20190319-0001	1552971082	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j184037-770920	-	-
J0712.0-6030	X-ray	0.0322	-	07:12:05.40	-60:30:06.00	2019-02-18T15:01:17Z	20190218-0005	1550502064	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j071205-603006	-	-
J1535.1-4658	X-ray	0.0360	-	15:35:09.10	-46:58:45.00	2019-01-29T00:54:47Z	20190128-0022	1548723285	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j153509-465845	-	-
J1535.1-4658	X-ray	0.0360	-	15:35:09.10	-46:58:45.00	2019-02-11T00:14:25Z	20190208-0018	1549844065	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j153509-465845	-	-
J0540.1-4322	X-ray	0.0848	-	05:40:10.00	-43:22:56.00	2019-03-02T12:01:15Z	20190301-0041	1551528070	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j054010-432256	-	-
J0328.6-5542	X-ray	0.0856	-	03:28:37.50	-55:42:46.00	2019-01-28T16:01:20Z	20190128-0018	1548691270	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j032837-554246	-	-
J0317.9-4414	X-ray	0.0753	-	03:17:58.50	-44:14:20.00	2018-12-25T13:32:58Z	20181225-0001	1545744767	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j031758-441420	-	-
J0416.7-5525	X-ray	0.3650	-	04:16:44.90	-55:25:08.00	2018-12-24T14:01:20Z	20181221-0010	1545660075	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j041644-552508	-	-
J0342.8-5338	X-ray	0.0597	-	03:42:53.90	-53:38:07.00	2019-03-10T09:32:53Z	20190309-0003	1552210371	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j034253-533807	-	-
MACSJ0257.6-2209	X-ray	0.3224	-	02:57:40.3	-22:09:46.0	2018-11-12T16:51:20Z	20181111-0005	1542041476	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j025740-220946	-	-
MACSJ0257.6-2209	X-ray	0.3224	-	02:57:40.3	-22:09:46.0	2018-12-16T15:01:18Z	20181216-0002	1544972475	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	j025740-220946	-	-
# ==================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================

#Abell-168
name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_rad        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_rad_peak
-             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam        Jy*m/s             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           m/s           m/s           m/s           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix        Jy*m/s           deg           deg           m/s           pix           pix           pix           deg           deg           m/s
"MKTCS-HI J011714.94+002503.5"             1    287.169400    702.085213    462.686422           275           297           693           712           456           466          1136  -5.24470e-04      0.002664    364.412400      1.000000             0      0.143239      2.735275      2.434325      1.055938      1.206914   2.17042e-04   1.81932e+05   1.07703e+05   4.10761e+05      7.970043      5.807420     89.819131      8.155679      5.226513    -87.471880    277.374310      0.510627      0.395737      0.235927     50.122991     19.312239      0.417632   2.99663e+06           288           702           464     19.310854      0.417490   2.93869e+06
"MKTCS-HI J011525.30+001447.0"             2    561.240018    599.333424    443.182963           553           569           591           609           442           445           662  -3.22399e-04      0.001043     74.757756      1.000000             0      0.407343      2.502868      2.711610      0.967160      0.827411   9.51258e-05   9.19342e+04   5.43402e+04   8.72491e+04      6.649666      5.269806     11.476032      4.754024      3.388771     17.814637    114.332095      0.562468      0.646740      0.144923     16.769939     18.855434      0.246389   3.85691e+06           561           599           443     18.855834      0.245833   3.86498e+06
"MKTCS-HI J011302.07+004039.7"             3    919.301069    858.125306    429.873398           910           934           850           867           426           431           837     -0.001040      0.004681    413.398536      1.000000             0      0.196637      2.396301      2.451542      0.942602      1.360838   4.12078e-04   1.18025e+05   8.42559e+04   1.14988e+05     10.551897      5.078673     87.513217      7.680513      3.279954     87.187375     60.892189      0.804675      0.461150      0.127459     81.685854     18.258620      0.677702   4.44398e+06           917           858           430     18.262456      0.677494   4.43840e+06
"MKTCS-HI J011431.74-000402.0"             4    695.137354    411.172142    415.901284           685           706           389           419           408           420           788  -6.17769e-04      0.002695    339.843780      1.000000             0      0.066446      4.211577      5.347066      0.506288     -0.444499   1.29554e-04   1.47118e+05   1.06616e+05   1.36038e+05      6.254920      5.883415    -81.806171      7.288841      6.800647    -88.720719    231.656535      0.200906      0.188710      0.066940     24.918369     18.632271     -0.067216   5.06028e+06           695           411           416     18.632500     -0.067503   5.05593e+06
"MKTCS-HI J011341.19-000609.1"             5    821.525113    389.991387    415.174954           811           832           382           398           411           420          1375  -6.59502e-04      0.001838    360.934771      1.000000             0      0.276705      2.338365      1.786253      0.838467      1.120965   2.03896e-04   3.72493e+05   3.44068e+05   3.69126e+05      8.183754      4.757250    -67.603153      8.069828      3.780394    -68.527940    108.979760      0.484661      0.378777      0.260534     51.804001     18.421622     -0.102522   5.09232e+06           821           390           412     18.422497     -0.102507   5.23236e+06
"MKTCS-HI J011317.67-001050.5"             6    880.332129    343.096052    412.688768           868           890           331           359           409           414           696  -7.41890e-04      0.001504    293.069538      0.999974             0      0.066070      2.609467      1.302549     -0.919244      0.091039   2.69078e-04   8.73923e+04   5.28185e+04   1.01527e+05     14.230137      6.232135    -34.614711     12.782345      5.037844    -39.642544    323.329669      0.697338      0.865374      0.167211     48.639358     18.323606     -0.180685   5.20198e+06           879           341           413     18.325826     -0.184179   5.18825e+06
"MKTCS-HI J011412.83-001708.1"             7    742.424450    280.161721    410.595000           733           752           272           288           405           413           911  -9.13269e-04      0.001871    326.899093      1.000000             0      0.217893      2.556567      1.759230     -0.494626      1.244776   2.50891e-04   3.52872e+05   1.66124e+05   3.52872e+05      6.148054      5.655409    -57.500528      4.853353      4.582426     -9.612863     77.636082      0.505497      0.450145      0.233610     51.885741     18.553456     -0.285574   5.29434e+06           741           280           412     18.555830     -0.285843   5.23236e+06
"MKTCS-HI J011324.98+001314.1"             8    862.037502    583.846310    404.849051           850           878           572           592           402           409           953  -6.34139e-04      0.001445    145.780992      1.000000             0      0.093478      2.433468      2.327667     -0.188342      0.284827   1.58533e-04   1.09631e+05   8.02841e+04   1.16729e+05      8.755351      5.576045     86.419726      7.241589      3.678988    -80.083085    306.398054      0.751133      0.491776      0.209657     33.532815     18.354097      0.220570   5.54778e+06           862           584           404     18.354159      0.220826   5.58524e+06
"MKTCS-HI J011653.73+000908.4"             9    340.187498    542.908506    404.497492           331           349           535           551           394           408          1089  -6.69911e-04      0.004781    794.663384      1.000000             0      0.200000      4.969345      5.350766      1.101443      1.044446   1.75756e-04   2.07888e+05   1.71832e+05   1.94090e+05      6.504985      5.376021    -64.949590      8.435408      6.252825    -61.198625    104.557961      0.168010      0.155715      0.067648     39.740112     19.223860      0.152340   5.56329e+06           340           543           406     19.224172      0.152493   5.49702e+06
"MKTCS-HI J011233.98+001738.0"            10    989.534330    627.844744    403.820582           976          1003           617           640           402           406          1611  -7.39317e-04      0.009431   2342.811874      1.000000             0      0.411616      6.310660      4.719156      1.171842      1.086095   3.05393e-04   1.76436e+05   1.61623e+05   1.72552e+05      8.888529      7.082731     89.698409     10.894408      8.234123    -88.503701     98.578249      0.192425      0.155329      0.043280     83.986759     18.141587      0.293892   5.59315e+06           990           628           405     18.140811      0.294151   5.54113e+06
"MKTCS-HI J011734.91+002640.4"            11    237.251159    718.243121    370.889602           223           247           707           731           366           375          1384     -0.001316      0.003075    348.409531      1.000000             0      0.116898      1.813341      2.067734      0.172747      1.711572   3.20781e-04   2.48112e+05   1.15099e+05   2.47840e+05      7.220176      6.788385    -80.533115      6.657901      4.269380    -46.385739     31.686091      0.607486      0.573716      0.300934     81.767614     19.395444      0.444558   7.04570e+06           238           720           372     19.394196      0.447487   6.99672e+06
"MKTCS-HI J011644.68+002421.2"            12    362.814551    695.041925    369.056460           353           373           684           709           366           373          1190  -5.13274e-04      0.001798    353.742943      1.000000             0      0.194167      3.566779      2.461957      0.567298      0.483087   1.38398e-04   2.45361e+05   1.42504e+05   2.40729e+05      8.946544      5.819015    -22.163683      7.797479      5.941503    -19.871594    336.811709      0.327160      0.418024      0.113870     32.712015     19.186155      0.405898   7.12656e+06           363           695           369     19.185846      0.405828   7.12905e+06
"MKTCS-HI J011534.23-000536.4"            13    538.912631    395.442129    328.904421           527           550           376           412           322           333          2166  -5.95086e-04      0.006102   1763.961766      1.000000             0      0.145161     10.318281      9.390354      1.180611      0.569912   1.34900e-04   2.48265e+05   2.21043e+05   2.34646e+05      9.766685      5.883431    -22.279826     12.707500      7.592768    -21.308269    153.993840      0.101613      0.144315      0.046168     43.017382     18.892646     -0.093432   8.89763e+06           539           396           327     18.892500     -0.092502   8.98163e+06
"MKTCS-HI J011309.90+005008.2"            14    899.718516    952.873543    314.552903           887           910           938           963           310           318          1448     -0.001739      0.004126   1026.802132      1.000000             0      0.153086      2.177283      1.751390     -0.388311      0.257191   4.86754e-04   3.18633e+05   1.60104e+05   3.17326e+05     10.181749      6.576854     44.495453      9.140058      6.066801     36.307914     29.369778      0.445963      0.450071      0.170353    126.910642     18.291243      0.835623   9.53066e+06           902           952           316     18.287440      0.834167   9.46683e+06
"MKTCS-HI J011448.68-002951.2"            15    652.799664    152.981434    306.245980           642           662           144           162           302           310          1288     -0.001464      0.003080    872.042695      1.000000             0      0.257550      2.272868      1.270717      0.106056     -0.198541   4.29124e-04   3.43294e+05   3.07265e+05   3.33344e+05      7.650175      5.543964    -44.949057      7.128876      4.985525    -38.986649    143.613564      0.393679      0.381303      0.236076    105.522504     18.702831     -0.497552   9.89707e+06           653           154           304     18.702497     -0.495854   9.99614e+06
"MKTCS-HI J011523.77+003759.9"            16    565.084867    831.482370    298.299508           555           580           821           840           290           304          2059  -5.46393e-04   8.69924e-04    132.983939      1.000000             0      0.149286      1.188662      1.806688     -0.253514     -0.067460   1.27055e-04   3.24311e+05   2.53863e+05   3.16091e+05      8.201571      6.186189     37.435565      5.254170      3.553719     31.306533     27.610358      0.516483      0.476336      0.339483     39.502384     18.849029      0.633307   1.02476e+07           565           831           300     18.849170      0.632503   1.01726e+07
"MKTCS-HI J011429.42+000033.7"            17    700.961601    457.122386    296.402195           688           710           449           468           291           298           613  -3.94528e-04   8.68076e-04     71.612596      1.000000             0      0.073004      3.049268      2.444141     -0.950979      0.436764   1.22522e-04   1.11799e+05   7.90317e+04   1.09845e+05      6.334407      5.935348     46.731807      4.782971      4.063564     68.287471    115.774563      0.722645      0.715550      0.245686     20.784941     18.622564      0.009369   1.03313e+07           701           458           296     18.622500      0.010832   1.03490e+07
"MKTCS-HI J011525.47+004121.5"            18    560.817088    865.075828    290.005324           553           569           853           873           290           293           278  -5.63802e-04      0.001599     70.240013      1.000000             0      0.125758      4.215646      3.077844     -0.821502      0.938107   1.33347e-04   3.52872e+04   2.20545e+04      0.000000      6.442512      5.269810     62.615865      5.450172      4.239561     52.309575     -1.000000      0.546101      0.536406      0.041575     15.233812     18.856143      0.689297   1.06134e+07           561           865           290     18.855838      0.689171   1.06137e+07
"MKTCS-HI J011608.84+000617.9"            19    452.397317    514.485613    285.117384           441           463           504           525           282           290           968  -3.27898e-04   7.73380e-04    115.391461      1.000000             0      0.108660      2.335239      1.699388      0.344224      0.261384   1.04764e-04   2.30463e+05   1.02705e+05   2.30267e+05      8.334056      6.883200    -76.795324      6.752839      5.642180    -68.268966    127.661975      0.632532      0.522994      0.226044     22.333318     19.036839      0.104974   1.08290e+07           454           515           285     19.034168      0.105831   1.08342e+07
"MKTCS-HI J011302.07-000655.7"            20    919.331861    382.232476    288.095738           909           929           371           393           286           289          1003  -5.66500e-04      0.006821   1222.132134      1.000000             0      0.446078      6.385436      4.562665      0.854128     -0.079355   3.59445e-04   1.09703e+05   7.93349e+04   1.03343e+05      7.312337      6.777510     30.594357      7.893542      7.317879     16.347067     64.391783      0.275953      0.273299      0.053363     77.998658     18.258605     -0.115459   1.06977e+07           919           382           288     18.259158     -0.115846   1.07019e+07
"MKTCS-HI J011517.59+000600.7"            21    580.529262    511.610524    277.291521           571           591           501           521           273           279          1046  -2.88681e-04      0.002665    344.325170      1.000000             0      0.290794      6.151041      4.950803      1.315154      1.598101   1.04142e-04   1.65433e+05   1.36068e+05   1.61495e+05      6.254940      5.805396     56.864588      6.762313      6.040654     57.617598     70.982946      0.245017      0.248799      0.060517     23.077862     18.823285      0.100184   1.11742e+07           580           512           278     18.824167      0.100833   1.11430e+07
"MKTCS-HI J011550.98+000854.7"            22    497.061233    540.612528    272.989017           487           510           529           553           263           277          2105  -4.21490e-04      0.001245    269.749003      1.000000             0      0.142690      2.514732      2.382230      0.582847      1.876233   9.68203e-05   3.87435e+05   3.73115e+05   3.85168e+05      9.146562      7.659463     38.568258      9.483313      6.788378     53.186858    248.439133      0.375950      0.387126      0.264151     30.436639     18.962399      0.148520   1.13640e+07           496           540           277     18.964168      0.147499   1.11871e+07
"MKTCS-HI J011650.12+003226.4"            23    349.219998    775.901456    270.401243           338           359           768           790           268           272           868  -4.34225e-04      0.001703    276.594132      1.000000             0      0.199265      2.935818      1.720385      0.561041      0.123489   1.64912e-04   1.67912e+05   1.54568e+05   1.63411e+05      9.462218      6.566287     48.358660      9.206978      6.146121     33.400325     59.739771      0.498605      0.475294      0.122733     33.290226     19.208822      0.540664   1.14781e+07           350           774           269     19.207522      0.537495   1.15400e+07
